,prior,eos,kr,sch
765,86,0,1,2026.01.01
766,86,0,1,2026.04.01
767,86,0,1,2026.07.01
768,86,0,1,2026.10.01
769,86,0,1,2027.01.01
770,86,0,1,2027.04.01
771,86,0,1,2027.07.01
772,86,0,1,2027.10.01
773,86,0,1,2028.01.01
774,87,0,1,2026.01.01
775,87,0,1,2026.04.01
776,87,0,1,2026.07.01
777,87,0,1,2026.10.01
778,87,0,1,2027.01.01
779,87,0,1,2027.04.01
780,87,0,1,2027.07.01
781,87,0,1,2027.10.01
782,87,0,1,2028.01.01
783,88,0,1,2026.01.01
784,88,0,1,2026.04.01
785,88,0,1,2026.07.01
786,88,0,1,2026.10.01
787,88,0,1,2027.01.01
788,88,0,1,2027.04.01
789,88,0,1,2027.07.01
790,88,0,1,2027.10.01
791,88,0,1,2028.01.01
792,89,0,1,2026.01.01
793,89,0,1,2026.04.01
794,89,0,1,2026.07.01
795,89,0,1,2026.10.01
796,89,0,1,2027.01.01
797,89,0,1,2027.04.01
798,89,0,1,2027.07.01
799,89,0,1,2027.10.01
800,89,0,1,2028.01.01
801,90,0,1,2026.01.01
802,90,0,1,2026.04.01
803,90,0,1,2026.07.01
804,90,0,1,2026.10.01
805,90,0,1,2027.01.01
806,90,0,1,2027.04.01
807,90,0,1,2027.07.01
808,90,0,1,2027.10.01
809,90,0,1,2028.01.01
810,91,0,1,2026.01.01
811,91,0,1,2026.04.01
812,91,0,1,2026.07.01
813,91,0,1,2026.10.01
814,91,0,1,2027.01.01
815,91,0,1,2027.04.01
816,91,0,1,2027.07.01
817,91,0,1,2027.10.01
818,91,0,1,2028.01.01
819,92,0,1,2026.01.01
820,92,0,1,2026.04.01
821,92,0,1,2026.07.01
822,92,0,1,2026.10.01
823,92,0,1,2027.01.01
824,92,0,1,2027.04.01
825,92,0,1,2027.07.01
826,92,0,1,2027.10.01
827,92,0,1,2028.01.01
828,93,0,1,2026.01.01
829,93,0,1,2026.04.01
830,93,0,1,2026.07.01
831,93,0,1,2026.10.01
832,93,0,1,2027.01.01
833,93,0,1,2027.04.01
834,93,0,1,2027.07.01
835,93,0,1,2027.10.01
836,93,0,1,2028.01.01
837,94,0,1,2026.01.01
838,94,0,1,2026.04.01
839,94,0,1,2026.07.01
840,94,0,1,2026.10.01
841,94,0,1,2027.01.01
842,94,0,1,2027.04.01
843,94,0,1,2027.07.01
844,94,0,1,2027.10.01
845,94,0,1,2028.01.01
846,95,0,1,2026.01.01
847,95,0,1,2026.04.01
848,95,0,1,2026.07.01
849,95,0,1,2026.10.01
850,95,0,1,2027.01.01
851,95,0,1,2027.04.01
852,95,0,1,2027.07.01
853,95,0,1,2027.10.01
854,95,0,1,2028.01.01
855,96,0,1,2026.01.01
856,96,0,1,2026.04.01
857,96,0,1,2026.07.01
858,96,0,1,2026.10.01
